category,group,key,ua,ru
100,Color,black,Чорний,Чёрный
100,Color,brown,Коричневий,Коричневый
100,Color,orange,Оранжевий,Оранжевый
100,Color,pink,Рожевий,Розовый
100,Color,raspberry,Малиновий,Малиновый
100,Color,red,Червоний,Красный
100,Color,yellow,Жовтий,Жёлтый
100,Cultivation,bee_pollinated,Бджолозапилюваний,Пчелоопыляемый
100,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
100,Cultivation,needs_trellis,Потребує підв'язки,Требует подвязки
100,Cultivation,no_pinch,Без пасинкування,Без пасынкования
100,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
100,Cultivation,parthenocarpic,Партенокарпічний,Партенокарпический
100,Growth,compact,Компактний,Компактный
100,Growth,determinate,Детермінантний,Детерминантный
100,Growth,indeterminate,Індетермінантний,Индетерминантный
100,Growth,short,Низькорослий,Низкорослый
100,Growth,sprawling,Розлогий,Раскидистый
100,Growth,tall,Високорослий,Высокорослый
100,Maturity,early,Ранній,Ранний
100,Maturity,early_maturing,Ранньостиглий,Раннеспелый
100,Maturity,late,Пізній,Поздний
100,Maturity,mid_early,Середньоранній,Среднеранний
100,Maturity,mid_late,Середньопізній,Среднепоздний
100,Maturity,mid_maturing,Середньостиглий,Среднеспелый
100,Resistance,alternaria,Альтернаріоз,Альтернариоз
100,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
100,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
100,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
100,Resistance,fusarium,Фузаріоз,Фузариоз
100,Resistance,late_blight,Фітофтороз,Фитофтороз
100,Resistance,powdery_mildew,Мучниста роса,Мучнистая роса
100,Resistance,septoria,Септоріоз,Септориоз
100,Resistance,shade_tolerant,Тіньовитривалий,Теневыносливый
100,Shape,cylindrical,Циліндричний,Цилиндрический
100,Shape,elongated,Подовжений,Удлинённый
100,Shape,flat_round,Плоскоокруглий,Плоскоокруглый
100,Shape,oval,Овальний,Овальный
100,Shape,pear,Грушоподібний,Грушевидный
100,Shape,plum,Сливка,Сливка
100,Shape,round,Округлий,Округлый
100,Texture,crunchy,Хрусткий,Хрустящий
100,Texture,firm,Щільний,Плотный
100,Texture,juicy,Соковитий,Сочный
100,Texture,keeping,Лежкий,Лёжкий
100,Texture,meaty,М'ясистий,Мясистый
100,Texture,sweet,Солодкий,Сладкий
100,Texture,transportable,Транспортабельний,Транспортабельный
100,Traits,few_seeds,Малонасінневий,Малосемянный
100,Traits,long_storage,Довге зберігання,Долгое хранение
100,Traits,no_green_shoulder,Без зеленої плями біля плодоніжки,Без зелёного пятна у плодоножки
100,Traits,thin_skin,Тонка шкірка,Тонкая кожура
100,Usage,baby_food,Дитяче харчування,Детское питание
100,Usage,canning,Консервування,Консервирование
100,Usage,fresh,Свіже споживання,Свежее потребление
100,Usage,juice,Сік,Сок
100,Usage,paste,Паста,Паста
100,Usage,pickling,Засолювання,Засолка
100,Usage,salad,Салатний,Салатный
100,Usage,sauce,Соус,Соус
100,Usage,universal,Універсальний,Универсальный
100,Yield,high_yield,Високоврожайний,Высокоурожайный
100,Yield,long_fruiting,Тривале плодоношення,Длительное плодоношение
100,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
110,Color,black,Чорний,Чёрный
110,Color,orange,Оранжевий,Оранжевый
110,Color,red,Червоний,Красный
110,Color,yellow,Жовтий,Жёлтый
110,Cultivation,bee_pollinated,Бджолозапилюваний,Пчелоопыляемый
110,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
110,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
110,Cultivation,parthenocarpic,Партенокарпічний,Партенокарпический
110,Growth,compact,Компактний,Компактный
110,Growth,determinate,Детермінантний,Детерминантный
110,Maturity,early,Ранній,Ранний
110,Maturity,early_maturing,Ранньостиглий,Раннеспелый
110,Maturity,late,Пізній,Поздний
110,Maturity,mid_early,Середньоранній,Среднеранний
110,Maturity,mid_late,Середньопізній,Среднепоздний
110,Maturity,mid_maturing,Середньостиглий,Среднеспелый
110,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
110,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
110,Resistance,powdery_mildew,Мучниста роса,Мучнистая роса
110,Resistance,shade_tolerant,Тіньовитривалий,Теневыносливый
110,Shape,cylindrical,Циліндричний,Цилиндрический
110,Shape,elongated,Подовжений,Удлинённый
110,Shape,oval,Овальний,Овальный
110,Shape,round,Округлий,Округлый
110,Texture,crunchy,Хрусткий,Хрустящий
110,Texture,firm,Щільний,Плотный
110,Texture,juicy,Соковитий,Сочный
110,Texture,keeping,Лежкий,Лёжкий
110,Texture,transportable,Транспортабельний,Транспортабельный
110,Traits,long_storage,Довге зберігання,Долгое хранение
110,Traits,marketable,Товарний вигляд,Товарный вид
110,Traits,thin_skin,Тонка шкірка,Тонкая кожура
110,Usage,canning,Консервування,Консервирование
110,Usage,fresh,Свіже споживання,Свежее потребление
110,Usage,juice,Сік,Сок
110,Usage,pickling,Засолювання,Засолка
110,Usage,salad,Салатний,Салатный
